transaction_id,date,account_number,transaction_type,amount,currency,status,merchant,location
04cecc08-8a0e-4ba7-97a4-9fb4a5ee0603,2024-08-09,GB06RAVX83256536755453,Deposit,559.01,USD,Completed,Fox LLC,Kevinbury
0e3a7b5d-e186-473b-aea6-6240bef8e24e,2024-02-26,GB58RCWP42636196284598,Deposit,4199.78,EUR,Pending,"Chavez, Rodriguez and Rice",North Dominique
385c1b40-9293-4e89-9999-7213f10b1e85,2024-10-04,GB25LIPA89673250948425,Withdrawal,1230.65,CHF,Pending,Mcneil-Rhodes,Stephenfurt
c0d1601d-c5f9-4b7c-910d-bb50b559dfb1,2024-02-29,GB81ATQO41610240140717,Payment,4783.28,GBP,Failed,Browning Ltd,North Christown
1bf69d49-18d7-44ed-b55b-352b950663f0,2024-12-28,GB46FIVO06406646760466,Payment,543.13,GBP,Failed,"Terry, Riddle and Hampton",Johnburgh
7619b630-94c6-4c31-8b0f-cef499b4e716,2024-10-30,GB40VFTM71330326808423,Transfer,4938.81,GBP,Failed,"Bennett, Blair and Mitchell",New Oscar
a704ced8-e655-4ebb-ad23-1218afce5ef6,2025-01-27,GB67UBUW82651655122977,Payment,628.18,EUR,Failed,"Herring, Ford and Ortiz",Schmidtfurt
6b7cd691-a110-48e5-8097-792f04454431,2024-06-28,GB94DSNR71211327393276,Payment,1106.86,GBP,Failed,"Williams, Elliott and Day",North Isabellatown
04011f10-cbde-4c91-96b4-b7f8f1313bdc,2024-07-16,GB61YTZS49835850252939,Deposit,3249.59,EUR,Pending,Rios-Ramos,Tommymouth
5d796856-739f-4ac5-ba57-0c604dcfa62e,2024-04-01,GB31OTJU15574258449851,Transfer,2153.38,USD,Pending,Collins Ltd,Wonghaven
bf762434-1f9f-4e2f-9dab-73fa28831a7f,2024-10-22,GB23AALT26649524584460,Withdrawal,2510.8,EUR,Completed,Sharp-Brown,Belltown
7c85c57c-9f3f-4e46-a1a3-dc7d0823a4f9,2025-01-28,GB16VRIB97152228619346,Payment,1516.89,USD,Pending,Castro and Sons,Wrightberg
53da934e-64f0-49e6-a5cd-3cc8a3c93e18,2024-11-27,GB70RRVI22715296881367,Withdrawal,4170.22,EUR,Pending,Ramirez LLC,East Aprilport
0bac6522-da93-4213-adfb-3eac7a3f5091,2024-11-30,GB13ABYQ25287003487721,Deposit,4541.62,USD,Completed,Lopez Inc,West Jamesport
f34f9553-9528-4b06-b517-cd6d764c12eb,2024-09-21,GB95GLQZ35553717729460,Transfer,4597.93,CHF,Failed,Dixon-Carlson,Megantown
e038633f-fcc6-4d48-9fc1-581e34bc4e06,2024-04-07,GB77OLFG29942709615068,Withdrawal,792.18,USD,Completed,"Moore, Mcguire and Price",Port Alexis
a3d52feb-f8c9-47ed-9d38-0e19ab4c796f,2024-07-22,GB84RHBT09126192183496,Withdrawal,2555.92,EUR,Completed,Davis-Jackson,New Carolynport
e14b5bb2-3552-4aeb-bb92-9de9250e8486,2024-11-11,GB83CVCW59819479385720,Payment,513.31,GBP,Failed,"Ochoa, Smith and Black",South Robinberg
c6e198ab-d3c3-440d-8a84-f014762f2350,2024-03-01,GB60GVFP26247120653692,Deposit,3038.82,EUR,Completed,Dixon and Sons,Deleonshire
14ac4e09-0411-421e-b95c-b5de65c6877e,2024-04-30,GB25PXAU29178648356680,Deposit,3404.59,CHF,Pending,James-Mcdaniel,West Philipland
44add046-78bd-40ca-873d-e13b7d309430,2024-09-09,GB36POMC57572014605613,Transfer,1653.62,EUR,Completed,Kim PLC,Brooksstad
58239d2a-95b8-4351-b5ec-9a1beae212e9,2025-01-08,GB03OWCL43557779254138,Payment,1085.99,CHF,Pending,Garner LLC,New Douglas
6852461c-b4f0-4232-b9e9-fc2910017e72,2024-05-29,GB03VMWN10268083177903,Deposit,632.0,USD,Pending,Williams Inc,Sellershaven
17f5ffdb-8603-41cc-b761-95c1bafb8f2e,2024-06-19,GB14FHEX77992209818806,Payment,3503.44,CHF,Pending,Ortiz-Nelson,Shawnport
