transaction_id,date,account_number,transaction_type,amount,currency,status,merchant,location
c05358e9-cbcb-4abc-9b37-7fc914a32049,2024-11-18,GB74BRRO40444057919276,Deposit,182.28,GBP,Failed,N/A,Mckeeburgh
eb6d6cd6-2c93-455f-bd9f-264753ae6fe0,2024-05-28,GB74WCFS11720256140682,Transfer,3048.92,GBP,Pending,N/A,North Morgan
04cecc08-8a0e-4ba7-97a4-9fb4a5ee0603,2024-08-09,GB06RAVX83256536755453,Deposit,559.01,USD,Completed,Fox LLC,Kevinbury
b00b6837-6376-429a-987b-2d7a394fda76,2024-09-08,GB94HXDJ06839595038154,Payment,4110.84,GBP,Failed,N/A,Guzmanstad
77878ebe-e339-48cf-bc94-4b27668705b4,2025-01-06,GB53TUFI56209180596405,Deposit,4284.86,GBP,Completed,N/A,New Alexanderstad
6d79df79-d8e5-4a7a-9824-21f02cc2c20a,2025-01-31,GB26XUZZ71559204284243,Deposit,912.28,EUR,Failed,N/A,North Cynthiaburgh
0e3a7b5d-e186-473b-aea6-6240bef8e24e,2024-02-26,GB58RCWP42636196284598,Deposit,4199.78,EUR,Pending,"Chavez, Rodriguez and Rice",North Dominique
385c1b40-9293-4e89-9999-7213f10b1e85,2024-10-04,GB25LIPA89673250948425,Withdrawal,1230.65,CHF,Pending,Mcneil-Rhodes,Stephenfurt
4e0a46be-b643-4e2d-ad5e-88f8a1d1e3de,2024-12-15,GB97TODL42447064537629,Payment,1401.94,EUR,Failed,N/A,Michaelshire
c0d1601d-c5f9-4b7c-910d-bb50b559dfb1,2024-02-29,GB81ATQO41610240140717,Payment,4783.28,GBP,Failed,Browning Ltd,North Christown
1bf69d49-18d7-44ed-b55b-352b950663f0,2024-12-28,GB46FIVO06406646760466,Payment,543.13,GBP,Failed,"Terry, Riddle and Hampton",Johnburgh
381856ad-9166-4c32-8e22-aec1dbd6b90b,2025-01-14,GB69BGCH47152254007800,Deposit,157.4,GBP,Pending,N/A,East Ericborough
7619b630-94c6-4c31-8b0f-cef499b4e716,2024-10-30,GB40VFTM71330326808423,Transfer,4938.81,GBP,Failed,"Bennett, Blair and Mitchell",New Oscar
a704ced8-e655-4ebb-ad23-1218afce5ef6,2025-01-27,GB67UBUW82651655122977,Payment,628.18,EUR,Failed,"Herring, Ford and Ortiz",Schmidtfurt
a902c004-b645-46dd-8909-b874b3286808,2024-06-27,GB55OEXJ87513630909543,Payment,3882.27,USD,Failed,N/A,Lake Aprilborough
6b7cd691-a110-48e5-8097-792f04454431,2024-06-28,GB94DSNR71211327393276,Payment,1106.86,GBP,Failed,"Williams, Elliott and Day",North Isabellatown
f4cf5cfc-4a58-448b-936d-673e84621307,2024-12-05,GB08PELY15871912943743,Deposit,2889.22,GBP,Completed,N/A,Jacksonside
04011f10-cbde-4c91-96b4-b7f8f1313bdc,2024-07-16,GB61YTZS49835850252939,Deposit,3249.59,EUR,Pending,Rios-Ramos,Tommymouth
c0936c38-45b0-4db7-a01c-27b34658cdc9,2024-12-03,GB60OMCN22944767672889,Deposit,648.63,CHF,Failed,N/A,Port Aliceland
5d796856-739f-4ac5-ba57-0c604dcfa62e,2024-04-01,GB31OTJU15574258449851,Transfer,2153.38,USD,Pending,Collins Ltd,Wonghaven
bf762434-1f9f-4e2f-9dab-73fa28831a7f,2024-10-22,GB23AALT26649524584460,Withdrawal,2510.8,EUR,Completed,Sharp-Brown,Belltown
7c85c57c-9f3f-4e46-a1a3-dc7d0823a4f9,2025-01-28,GB16VRIB97152228619346,Payment,1516.89,USD,Pending,Castro and Sons,Wrightberg
7c4b3cdb-4cb7-4cf4-af2e-92980063f4dc,2024-02-22,GB26NVQP01707073849219,Transfer,3424.13,USD,Failed,N/A,Brittanyfurt
fd5d6c9f-eba1-4336-a643-9935db687151,2024-04-16,GB71BYHC60591045609030,Withdrawal,1196.93,EUR,Failed,N/A,East David
53da934e-64f0-49e6-a5cd-3cc8a3c93e18,2024-11-27,GB70RRVI22715296881367,Withdrawal,4170.22,EUR,Pending,Ramirez LLC,East Aprilport
1522aec8-451c-4980-b9f3-53193978280b,2024-06-24,GB37TTKH56407897085046,Payment,2713.34,USD,Failed,N/A,Lambmouth
0bac6522-da93-4213-adfb-3eac7a3f5091,2024-11-30,GB13ABYQ25287003487721,Deposit,4541.62,USD,Completed,Lopez Inc,West Jamesport
c685d846-cb3f-47df-93e3-32981a95d2b4,2024-04-01,GB72EMXH69376288397734,Deposit,2230.09,USD,Pending,N/A,South Jefferymouth
89f9ba70-a197-4bd2-8e8c-d77e3ab5e3df,2024-07-03,GB32VKZM81064683972816,Payment,1340.05,EUR,Failed,N/A,Jordanside
e2d93984-a503-4087-a560-f5ccbd9166ec,2024-03-20,GB05ONDR81872683898576,Withdrawal,3366.64,EUR,Pending,N/A,North Eugeneburgh
50a13097-fea9-4102-954a-95da7ee512c8,2024-03-25,GB34HXNA81487152309239,Deposit,4517.97,USD,Pending,N/A,Lake Toddmouth
feacb07e-6a15-4587-b503-fca1f1e9453a,2024-10-19,GB16GHAK87665614379422,Withdrawal,4902.39,EUR,Pending,N/A,Ericksonton
f34f9553-9528-4b06-b517-cd6d764c12eb,2024-09-21,GB95GLQZ35553717729460,Transfer,4597.93,CHF,Failed,Dixon-Carlson,Megantown
c6c4dc12-d7fe-4b5f-8802-9057243228a9,2024-12-06,GB13OSYK20222659240750,Deposit,4193.87,USD,Pending,N/A,Palmerchester
e038633f-fcc6-4d48-9fc1-581e34bc4e06,2024-04-07,GB77OLFG29942709615068,Withdrawal,792.18,USD,Completed,"Moore, Mcguire and Price",Port Alexis
a3d52feb-f8c9-47ed-9d38-0e19ab4c796f,2024-07-22,GB84RHBT09126192183496,Withdrawal,2555.92,EUR,Completed,Davis-Jackson,New Carolynport
52e33d4b-4944-4f80-a70c-459cef25773b,2024-12-13,GB07UARR47936792944830,Payment,2441.79,CHF,Failed,N/A,Darylshire
e14b5bb2-3552-4aeb-bb92-9de9250e8486,2024-11-11,GB83CVCW59819479385720,Payment,513.31,GBP,Failed,"Ochoa, Smith and Black",South Robinberg
c6e198ab-d3c3-440d-8a84-f014762f2350,2024-03-01,GB60GVFP26247120653692,Deposit,3038.82,EUR,Completed,Dixon and Sons,Deleonshire
dbcaefd1-4a6a-4405-8fb9-f893587158ff,2024-04-18,GB57YTBB56285297814227,Transfer,353.27,GBP,Pending,N/A,Lake Carolbury
14ac4e09-0411-421e-b95c-b5de65c6877e,2024-04-30,GB25PXAU29178648356680,Deposit,3404.59,CHF,Pending,James-Mcdaniel,West Philipland
b7144bd9-fddf-4616-a35a-0945ef7bd404,2024-10-18,GB35YJOT05292081250082,Payment,2268.06,USD,Pending,N/A,Walkerstad
44add046-78bd-40ca-873d-e13b7d309430,2024-09-09,GB36POMC57572014605613,Transfer,1653.62,EUR,Completed,Kim PLC,Brooksstad
58239d2a-95b8-4351-b5ec-9a1beae212e9,2025-01-08,GB03OWCL43557779254138,Payment,1085.99,CHF,Pending,Garner LLC,New Douglas
cec4915c-2dd8-4399-80e9-41934a9445f8,2024-07-20,GB37PWXB46567840410303,Withdrawal,4175.65,GBP,Pending,N/A,Mooretown
35e80e41-6241-4482-858d-7de5ed3365dc,2024-12-19,GB08MVGK17759252701189,Deposit,437.48,EUR,Pending,N/A,North Gregory
1e861239-3348-415c-98d3-a9e79fb40c59,2024-10-18,GB31DOAT07569509903149,Withdrawal,973.46,GBP,Completed,N/A,Buckleytown
6852461c-b4f0-4232-b9e9-fc2910017e72,2024-05-29,GB03VMWN10268083177903,Deposit,632.0,USD,Pending,Williams Inc,Sellershaven
17f5ffdb-8603-41cc-b761-95c1bafb8f2e,2024-06-19,GB14FHEX77992209818806,Payment,3503.44,CHF,Pending,Ortiz-Nelson,Shawnport
93b19fad-a6ad-45c4-87d7-89338ac916d4,2025-02-16,GB18OWUH94394124129305,Payment,4454.46,CHF,Failed,Kirby PLC,New Megan
bb6e1611-d498-4c33-8063-65049277bb5a,2024-06-13,GB14YNVL05755232416127,Deposit,2626.55,GBP,Failed,"Chapman, Gilbert and Willis",New Shellyside
9a6f699b-236d-4a80-ab91-53fca5629334,2024-03-20,GB56ZSWO09119515354792,Transfer,186.21,EUR,Completed,"Martin, Johnson and Carter",Brownberg
c7ff53bc-a1ec-4320-ae7e-cd90a9200d43,2024-12-13,GB23PEJT11233228276801,Deposit,4349.49,GBP,Completed,"Jones, Phillips and Wilson",East Kimberly
7e3a6565-5b34-48a0-8d9a-54944ea05736,2024-04-05,GB81YOWT01674410127217,Withdrawal,317.36,CHF,Pending,N/A,East Karenfurt
3a10d960-1720-428e-bcb3-a8323383669e,2025-02-01,GB59ZMOP78690785063758,Transfer,469.84,EUR,Pending,Patel PLC,Peterville
0328db70-f65e-4bf3-83e6-329a9d62ba1c,2024-08-16,GB90JEXN38813026554262,Payment,889.35,EUR,Pending,"Wood, Davis and Evans",Sharonside
d934d218-f706-4823-aa85-e16aa4cd91c4,2024-04-04,GB56MFVM84949111569386,Deposit,4731.36,USD,Completed,Duarte and Sons,Arthurville
404b46f1-246b-4715-9d9b-32b0326d2168,2024-10-21,GB97ZKCM64101252434213,Transfer,4442.5,CHF,Pending,Ramirez Inc,North Cassandraside
cc9cd5b1-a466-403e-8e72-7fa68658d013,2024-04-05,GB43GCZC40502494287634,Deposit,2643.06,CHF,Pending,N/A,Salinasberg
bfcef6f4-6799-4bb2-9a53-402a4780c5d1,2024-04-28,GB11HEOS64137599848001,Transfer,1072.48,CHF,Failed,Evans-Strickland,Carlsonport
80836614-1d5e-4dab-b6e9-7ff134f131e7,2024-12-07,GB75RGPD24763199592974,Transfer,1459.32,GBP,Completed,N/A,West Emilymouth
c4f114a4-47d5-4b68-9b75-e9b06eacdb84,2024-03-20,GB16NZOW78988144373307,Transfer,1182.9,GBP,Completed,N/A,East Cassandra
e5183e69-ad58-4696-ba48-bd2956890889,2024-10-29,GB38HZHT06695410902279,Deposit,3677.89,USD,Failed,N/A,Lake Angela
21fff0b0-d96f-49e4-b1d3-0d18410a838d,2024-03-24,GB90FUSY77765938558858,Withdrawal,1312.36,CHF,Completed,Peterson LLC,Lake David
1d9b6afb-96cd-45b8-aaf1-c2d601aa279c,2025-01-30,GB56LVNJ84203667042341,Withdrawal,468.4,EUR,Completed,N/A,Aprilchester
e340f29c-c54a-40b4-bef9-4080bb88c635,2024-05-23,GB90ETYU13754785834285,Deposit,4877.47,GBP,Pending,N/A,Carneymouth
2b2eab7f-d294-43b4-8ba8-556472eb6457,2024-08-18,GB62BYXS97304559201257,Deposit,1610.45,CHF,Pending,N/A,West Catherine
8d879750-ebde-4448-b2ee-de164d4aab91,2024-10-20,GB40SQZA38855478700129,Payment,2205.84,CHF,Pending,N/A,Thomasside
8a9c3efc-1453-48c3-994e-1257359ead0e,2024-05-28,GB48MIPT11945076150687,Withdrawal,2412.66,GBP,Pending,Price Ltd,East Jacob
efff8f63-1395-422d-8b69-00bb142d5bec,2024-08-10,GB45VNPF88986282070511,Withdrawal,1349.05,GBP,Failed,N/A,North Jasonport
0496f12b-1aad-44b7-8650-a8a25b3142ac,2024-04-08,GB82IMAJ53141614809559,Withdrawal,2250.52,CHF,Pending,N/A,Walkerside
bc8fe6c1-b8a7-4d6f-866c-84249a808ac5,2024-08-27,GB17MGCI72233887022966,Transfer,4361.25,CHF,Failed,Ali-Nunez,Lake Matthewport
e72f3629-a0ca-4164-9411-b7d0f3671701,2024-11-20,GB73KTJO36686865985626,Payment,4168.26,USD,Pending,"Macdonald, Thomas and Boyd",Gilbertport
caab24f2-a44a-4e72-8fc5-ca14523e7eb9,2024-04-25,GB03PHJI18531025065866,Transfer,113.89,GBP,Pending,Garcia PLC,Perezton
8c867306-f11b-42f1-b08f-8955ed436363,2024-09-07,GB80GGRN13211208621808,Withdrawal,2669.15,GBP,Completed,N/A,Joshuaburgh
49608677-ce81-42b6-b1b0-8eff8a166a1f,2024-09-29,GB50JKRF52038369178977,Withdrawal,425.12,GBP,Completed,N/A,Garciabury
7b35a935-dabc-4edd-b37d-fc820ac45ec2,2025-02-17,GB74ZXTV93059348943425,Deposit,4362.45,EUR,Completed,N/A,South Markchester
3cfbee2c-e0e4-4e95-b681-b3ae9832f324,2025-01-01,GB97VEMM58706317223729,Transfer,1241.55,EUR,Completed,"Santana, Martinez and Ellis",Lake Matthew
43e2f9d6-6b1e-48df-9df3-877ddc1874f5,2024-07-03,GB87LJTB87267816586835,Payment,4169.48,EUR,Completed,N/A,Aguilarton
1187b43d-5d41-4460-a2ea-788076828cbe,2025-02-08,GB65TFBX19137770400366,Withdrawal,158.49,USD,Pending,N/A,Foxport
70413e9b-0cd7-4386-82df-3824af7ba22d,2024-02-28,GB97RAVO12418487489526,Withdrawal,3173.44,EUR,Failed,"Lawson, Valdez and Johnson",Leonardfurt
7508af74-5378-419c-9192-621bd8454842,2025-02-07,GB94WAMY42539657100448,Withdrawal,4959.7,EUR,Failed,Thornton-Dunlap,Jeffreyhaven
8f904897-e88e-47a9-8b68-abd6bcbb4bb0,2024-12-30,GB64RBLI52317263729893,Deposit,1996.48,EUR,Failed,N/A,Andrewfurt
53bde8e4-b2c9-4392-b876-63a5d07bc941,2024-12-19,GB83WGSB37538119482429,Withdrawal,1171.01,EUR,Pending,N/A,East David
c71750cf-a449-4408-afc6-b9986e323c99,2024-11-20,GB69NJBS40864717781667,Withdrawal,514.89,EUR,Failed,Vargas Group,Andresview
26beb830-6507-4e9d-a30b-c258a0916f08,2024-02-24,GB06ADKN18432196659713,Withdrawal,1800.42,CHF,Failed,Weaver LLC,Jaredport
5720be68-3d4c-4dcd-b23d-b5c11f96d465,2024-11-12,GB79NXTI77553156048284,Payment,1030.63,CHF,Completed,N/A,Jennifermouth
a5c04593-5cfa-44be-966e-c56cd820efb1,2025-02-18,GB72GNZF78059967208862,Payment,1340.29,USD,Failed,N/A,Jeffreyfurt
3b7cf9a8-c8e8-4ad3-bc11-996dcb867f38,2024-12-09,GB77ETNB94610300447987,Transfer,624.01,USD,Completed,N/A,West Sheri
7e14b7b3-e74b-450d-a2bf-bff8669feb7b,2024-04-20,GB93DAFO46683102221637,Transfer,4948.5,CHF,Completed,"Lewis, Gutierrez and Watts",Colleenport
00c3d20f-f9ac-4598-a537-753367e8640d,2024-07-03,GB62XWSC92000097383709,Transfer,2179.84,EUR,Pending,Anderson Inc,Paulachester
ba1e1b2b-fdb8-46f5-b60a-4bf92d92a4e4,2024-10-04,GB32RGNX82949923678209,Transfer,1891.43,CHF,Pending,Bishop Inc,Port Heatherburgh
493eaf66-4d9e-4c26-b2c0-8d8cf9b88610,2024-11-12,GB32NHAM53499583904484,Payment,4875.32,USD,Pending,N/A,Lake Carolyn
7f3b448a-a352-4618-94a2-af014d6281ff,2024-11-10,GB61YMGC15860247057185,Payment,3144.58,CHF,Failed,Scott Group,Jeffreybury
3e7c1156-e8e7-426a-a031-8ab9973c8753,2024-06-04,GB24QQJY46577670271046,Withdrawal,3434.55,GBP,Pending,N/A,Kimberlyport
910d1d68-fb80-421e-a655-5b5745bf34a3,2024-12-13,GB20NLZX98604066333685,Transfer,1590.05,EUR,Completed,N/A,West Andrewside
d236eab8-d190-4cbd-9c55-f186944306d5,2024-09-13,GB12RHKA00753504950767,Payment,4302.34,CHF,Pending,N/A,Johnsonburgh
51b66da5-739d-4e31-b522-fb92efc6f38f,2024-03-01,GB95NIHX51359833660667,Payment,2012.64,USD,Failed,King-Parks,Chrisside
df2f4d69-f7d5-47ab-9f07-25bfee76134f,2024-10-11,GB67JMIV97730108663387,Transfer,1981.07,EUR,Failed,"Randolph, Moore and Rodriguez",East Keith
6516ca76-0b3a-499c-b146-e6f65cac41ff,2024-03-30,GB51KVND67195201935055,Withdrawal,318.19,EUR,Pending,N/A,West Michaelview
e07c6d46-be1c-4eeb-bf9f-30dec608c5d1,2024-12-28,GB92BIRH21265156635039,Withdrawal,4291.16,EUR,Failed,N/A,South John
c5e64f0a-e527-4cf5-bef6-3a5a3b7c44fc,2024-08-28,GB59OGYN41999725911727,Withdrawal,2452.63,EUR,Completed,White Ltd,Jomouth
b3477ec0-f281-4d61-b222-9638fb655f65,2024-09-19,GB81QXCC92115481689439,Transfer,3477.86,USD,Failed,N/A,Lake Paul
41b40a73-9546-4447-a485-d34f5408ae3b,2024-09-15,GB62ZIIK43282730073268,Transfer,995.53,USD,Pending,N/A,Kennedyburgh
0e02aaa2-f92f-475f-b8df-93b94f1ba1f2,2024-08-29,GB15HIHO86701555396705,Payment,3727.59,GBP,Failed,"Hammond, Garza and Watson",Bentonland
c206ca97-6dfa-4aa8-898b-3d7c7d2410a2,2025-01-31,GB94OVFO61694208395963,Payment,529.39,GBP,Pending,"Chavez, Lambert and Phillips",Port Jeffrey
4d245b39-8e8a-47cb-b576-ea17ecb69658,2024-11-22,GB55HPYC60077701758838,Transfer,3451.47,EUR,Pending,N/A,Hughesland
e232bdd2-1090-4f38-be12-5c6c41feb1d9,2025-01-29,GB11NXOW47554177850516,Deposit,1944.58,CHF,Completed,Brown-Fox,Garciabury
